Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Lesotho","Importations - Quantité","Viande de Volailles","2013","17"
"Bilans Alimentaires","Lettonie","Production","Viande de Volailles","2013","27"
"Bilans Alimentaires","Lettonie","Importations - Quantité","Viande de Volailles","2013","29"
"Bilans Alimentaires","Lettonie","Exportations - Quantité","Viande de Volailles","2013","13"
"Bilans Alimentaires","Macédoine du Nord","Production","Viande de Volailles","2013","2"
"Bilans Alimentaires","Macédoine du Nord","Importations - Quantité","Viande de Volailles","2013","38"
"Bilans Alimentaires","Macédoine du Nord","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Liban","Production","Viande de Volailles","2013","88"
"Bilans Alimentaires","Liban","Importations - Quantité","Viande de Volailles","2013","17"
"Bilans Alimentaires","Liban","Exportations - Quantité","Viande de Volailles","2013","6"
"Bilans Alimentaires","Libéria","Production","Viande de Volailles","2013","13"
"Bilans Alimentaires","Libéria","Importations - Quantité","Viande de Volailles","2013","25"
"Bilans Alimentaires","Lituanie","Production","Viande de Volailles","2013","93"
"Bilans Alimentaires","Lituanie","Importations - Quantité","Viande de Volailles","2013","33"
"Bilans Alimentaires","Lituanie","Exportations - Quantité","Viande de Volailles","2013","44"
"Bilans Alimentaires","Luxembourg","Production","Viande de Volailles","2013","2"
"Bilans Alimentaires","Luxembourg","Importations - Quantité","Viande de Volailles","2013","10"
"Bilans Alimentaires","Luxembourg","Exportations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Madagascar","Production","Viande de Volailles","2013","72"
"Bilans Alimentaires","Madagascar","Importations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Madagascar","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Malaisie","Production","Viande de Volailles","2013","1458"
"Bilans Alimentaires","Malaisie","Importations - Quantité","Viande de Volailles","2013","47"
"Bilans Alimentaires","Malaisie","Exportations - Quantité","Viande de Volailles","2013","29"
"Bilans Alimentaires","Malawi","Production","Viande de Volailles","2013","23"
"Bilans Alimentaires","Malawi","Importations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Malawi","Exportations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Maldives","Importations - Quantité","Viande de Volailles","2013","10"
"Bilans Alimentaires","Mali","Production","Viande de Volailles","2013","44"
"Bilans Alimentaires","Mali","Importations - Quantité","Viande de Volailles","2013","3"
"Bilans Alimentaires","Mali","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Malte","Production","Viande de Volailles","2013","4"
"Bilans Alimentaires","Malte","Importations - Quantité","Viande de Volailles","2013","9"
"Bilans Alimentaires","Malte","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Maroc","Production","Viande de Volailles","2013","684"
"Bilans Alimentaires","Maroc","Importations - Quantité","Viande de Volailles","2013","4"
"Bilans Alimentaires","Maroc","Exportations - Quantité","Viande de Volailles","2013","2"
"Bilans Alimentaires","Maurice","Production","Viande de Volailles","2013","47"
"Bilans Alimentaires","Maurice","Importations - Quantité","Viande de Volailles","2013","2"
"Bilans Alimentaires","Maurice","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Mauritanie","Production","Viande de Volailles","2013","5"
"Bilans Alimentaires","Mauritanie","Importations - Quantité","Viande de Volailles","2013","17"
"Bilans Alimentaires","Mauritanie","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Mexique","Production","Viande de Volailles","2013","2846"
"Bilans Alimentaires","Mexique","Importations - Quantité","Viande de Volailles","2013","849"
"Bilans Alimentaires","Mexique","Exportations - Quantité","Viande de Volailles","2013","10"
"Bilans Alimentaires","Mongolie","Production","Viande de Volailles","2013","0"
"Bilans Alimentaires","Mongolie","Importations - Quantité","Viande de Volailles","2013","8"
"Bilans Alimentaires","Monténégro","Production","Viande de Volailles","2013","3"
"Bilans Alimentaires","Monténégro","Importations - Quantité","Viande de Volailles","2013","7"
"Bilans Alimentaires","Monténégro","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Mozambique","Production","Viande de Volailles","2013","27"
"Bilans Alimentaires","Mozambique","Importations - Quantité","Viande de Volailles","2013","10"
"Bilans Alimentaires","Mozambique","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Myanmar","Production","Viande de Volailles","2013","1196"
"Bilans Alimentaires","Myanmar","Importations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Namibie","Production","Viande de Volailles","2013","12"
"Bilans Alimentaires","Namibie","Importations - Quantité","Viande de Volailles","2013","18"
"Bilans Alimentaires","Namibie","Exportations - Quantité","Viande de Volailles","2013","2"
"Bilans Alimentaires","Népal","Production","Viande de Volailles","2013","43"
"Bilans Alimentaires","Népal","Importations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Népal","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Nicaragua","Production","Viande de Volailles","2013","123"
"Bilans Alimentaires","Nicaragua","Importations - Quantité","Viande de Volailles","2013","6"
"Bilans Alimentaires","Nicaragua","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Niger","Production","Viande de Volailles","2013","17"
"Bilans Alimentaires","Niger","Importations - Quantité","Viande de Volailles","2013","2"
"Bilans Alimentaires","Nigéria","Production","Viande de Volailles","2013","300"
"Bilans Alimentaires","Nigéria","Importations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Norvège","Production","Viande de Volailles","2013","104"
"Bilans Alimentaires","Norvège","Importations - Quantité","Viande de Volailles","2013","2"
"Bilans Alimentaires","Norvège","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Nouvelle-Calédonie","Production","Viande de Volailles","2013","1"
"Bilans Alimentaires","Nouvelle-Calédonie","Importations - Quantité","Viande de Volailles","2013","11"
"Bilans Alimentaires","Nouvelle-Calédonie","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Nouvelle-Zélande","Production","Viande de Volailles","2013","170"
"Bilans Alimentaires","Nouvelle-Zélande","Importations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Nouvelle-Zélande","Exportations - Quantité","Viande de Volailles","2013","13"
"Bilans Alimentaires","Oman","Production","Viande de Volailles","2013","6"
"Bilans Alimentaires","Oman","Importations - Quantité","Viande de Volailles","2013","118"
"Bilans Alimentaires","Oman","Exportations - Quantité","Viande de Volailles","2013","10"
"Bilans Alimentaires","Ouganda","Production","Viande de Volailles","2013","57"
"Bilans Alimentaires","Ouganda","Importations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Ouganda","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Ouzbékistan","Production","Viande de Volailles","2013","33"
"Bilans Alimentaires","Ouzbékistan","Importations - Quantité","Viande de Volailles","2013","21"
"Bilans Alimentaires","Ouzbékistan","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Pakistan","Production","Viande de Volailles","2013","912"
"Bilans Alimentaires","Pakistan","Importations - Quantité","Viande de Volailles","2013","2"
"Bilans Alimentaires","Pakistan","Exportations - Quantité","Viande de Volailles","2013","3"
"Bilans Alimentaires","Panama","Production","Viande de Volailles","2013","146"
"Bilans Alimentaires","Panama","Importations - Quantité","Viande de Volailles","2013","15"
"Bilans Alimentaires","Panama","Exportations - Quantité","Viande de Volailles","2013","2"
"Bilans Alimentaires","Paraguay","Production","Viande de Volailles","2013","42"
"Bilans Alimentaires","Paraguay","Importations - Quantité","Viande de Volailles","2013","1"
